Rank,Sweet,Category
1,Vanilla,Herbs
2,Lemon,Fruits
3,Dark chocolate,Other
4,Cinnamon,Spices
5,White chocolate,Other
6,Cocoa,Other
7,Almond,Nut
8,Buttermilk,Dairy
9,Cream cheese,Cheeses
10,Lime,Fruits
11,Marzipan,Other
12,Orange,Fruits
13,Raspberry,Berries
14,Creme fraiche,Dairy
15,Ginger,Herbs
16,Hazelnut,Nut
17,Pecan,Nut
18,Strawberry,Berries
19,Blackberry,Berries
20,Blueberry,Berries
21,Carrot,Other
22,Champagne,Alcohol
23,Cloves,Spices
24,Coconut,Nut
25,Coffee,Beverages
26,Condensed milk,Dairy
27,Cranberry,Berries
28,Cream,Dairy
29,Elderflower,Herbs
30,Grand Marnier,Alcohol
31,Honey,Sugars
32,Licorice,Candy
33,Maple syrup,Sugars
34,Mascarpone,Cheeses
35,Milk chocolate,Other
36,Mint,Herbs
37,Nutmeg,Spices
38,Peanit,Nut
39,Peanut butter,Nut
40,Pepper,Spices
41,Pistachio,Nut
42,Rhubarb,Fruits
43,Rum,Alcohol
44,Sea buckthorn,Berries
45,Sweet potato,Vegetables
46,Vodka,Alcohol
47,Walnut,Nut
48,Yoghurt,Dairy
49,Allspice,Spices
50,Anise,Spices
51,Apple,Fruits
52,Bacon,Meats
53,Banana,Fruits
54,Blackcurrant,Berries
55,Cardamom,Spices
56,Chili,Herbs
57,Dark rum,Alcohol
58,Fig,Fruits
59,Grapefruit,Fruits
60,Lavender,Herbs
61,Lemon balm,Herbs
62,Nutella,Other
63,Olive oil,Oils
64,Passionfruit,Fruits
65,Peppermint,Herbs
66,Pineapple,Fruits
67,Poppy seed,Seeds
68,Portwine,Alcohol
69,Pumpkin seed,Seeds
70,Redcurrant,Berries
71,Rosewater,Other
72,Rosemary,Herbs
73,Star anise,Spices
74,Tequila,Alcohol
