Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Vanilla,Herbs
2,Olive oil,Oils,Lemon,Fruits
3,Onion,Vegetables,Almond,Nut
4,Parmesan,Dairy,Marzipan,Other
5,Spinach,Spices,White chocolate,Other
6,Tomato,Vegetables,Dark chocolate,Other
7,Lemon,Fruits,Cinnamon,Spices
8,Nutmeg,Spices,Cocoa,Other
9,Ricotta,Cheeses,Creme fraiche,Dairy
10,Rosemary,Herbs,Hazelnut,Nut
11,Pepper,Spices,Lime,Fruits
12,Red onion,Vegetables,Raspberry,Berries
13,White wine,Alcohol,Strawberry,Berries
14,Capers,Other,Apple,Fruits
15,Potato,Vegetables,Licorice,Candy
16,Red wine,Alcohol,Marshmallow,Candy
17,Basil,Herbs,Milk chocolate,Other
18,Bay leaf,Herbs,Mint,Herbs
19,Bell pepper,Vegetables,Orange,Fruits
20,Carrot,Other,Rhubarb,Fruits
21,Celery,Vegetables,Basil,Herbs
22,Chicken stock,Other,Blackberry,Berries
23,Chili,Herbs,Blueberry,Berries
24,Cinnamon,Spices,Buttermilk,Dairy
25,Courgette,Vegetables,Cloves,Spices
26,Cream,Dairy,Coffee,Beverages
27,Fennel,Vegetables,Elderflower,Herbs
28,Honey,Sugars,Ginger,Herbs
29,Kale,Vegetables,Honey,Sugars
30,Leek,Vegetables,Lemon balm,Herbs
31,Mozzarella,Cheeses,Pistachio,Nut
32,Mushroom,Vegetables,Redcurrant,Berries
33,Mustard,Condiments,Ladyfingers,Other
34,Oragano,Herbs,Amaretto,Alcohol
35,Parsley,Herbs,Banana,Fruits
36,Pea,Vegetables,Cardamom,Spices
37,Rhubarb,Fruits,Carrot,Other
38,Saffron,Herbs,Cherry,Berries
39,Salmon,Meats,Chestnut,Nut
40,Sweet potato,Vegetables,Cognac,Alcohol
41,Vanilla,Herbs,Condensed milk,Dairy
42,,,Cranberry,Berries
43,,,Cream cheese,Cheeses
44,,,Dark rum,Alcohol
45,,,Grand Marnier,Alcohol
46,,,Grapefruit,Fruits
47,,,Lavender,Herbs
48,,,Marsala,Alcohol
49,,,Nougat,Other
50,,,Nutella,Other
51,,,Nutmeg,Spices
52,,,Pineapple,Fruits
53,,,Pomegranate,Fruits
54,,,Portwine,Alcohol
55,,,Ricotta,Cheeses
56,,,Rosemary,Herbs
57,,,Rum,Alcohol
58,,,Rye bread,Other
59,,,Sea buckthorn,Berries
60,,,Star anise,Spices
61,,,Vodka,Alcohol
62,,,Walnut,Nut
63,,,White wine,Alcohol
64,,,Wood sorrel,Herbs
65,,,Zucchini,Vegetables
