Rank,Savory,Category
1,Garlic,Herbs
2,Onion,Vegetables
3,Pepper,Spices
4,Carrot,Other
5,Ginger,Herbs
6,Olive oil,Oils
7,Timian,Herbs
8,Allspice,Spices
9,Bay leaf,Herbs
10,Celery,Vegetables
11,Chili,Herbs
12,Cloves,Spices
13,Leek,Vegetables
14,Mustard,Condiments
15,Nutmeg,Spices
16,Spring onion,Vegetables
17,Apple,Fruits
18,Balsamic vinegar,Vinegars
19,Beef,Meats
20,Cardamom,Spices
21,Celeriac,Vegetables
22,Chive,Herbs
23,Cilantro,Herbs
24,Cinnamon,Spices
25,Coconut,Nut
26,Cognac,Alcohol
27,Cumin,Spices
28,Curry,Spices
29,Fish sauce,Other
30,Lemon,Fruits
31,Mayonnaise,Condiments
32,Mushroom,Vegetables
33,Pointed cabbage,Vegetables
34,Potato,Vegetables
35,Red onion,Vegetables
36,Rice,Other
37,Rosemary,Herbs
38,Sage,Herbs
39,Soy,Other
40,Tomato,Vegetables
41,White wine,Alcohol
42,Bacon,Meats
43,Banana,Fruits
44,Beetroot,Vegetables
45,Bell pepper,Vegetables
46,Capers,Other
47,Cayenne pepper,Spices
48,Chestnut,Nut
49,Chicken stock,Other
50,Chick pea,Vegetables
51,Creme fraiche,Dairy
52,Cucumber,Vegetables
53,Honey,Sugars
54,Lime,Fruits
55,Orange,Fruits
56,Oragano,Herbs
57,Paprika,Spices
58,Parmesan,Dairy
59,Parsley,Herbs
60,Red cabbage,Vegetables
61,Red wine,Alcohol
62,Rye bread,Other
63,Smoked paprika,Spices
64,Star anise,Spices
65,Tarragon,Herbs
66,Turmeric,Spices
67,Walnut,Nut
68,Yoghurt,Dairy
69,Zucchini,Vegetables
