Rank,Cocktail,Category,Savory,Category
1,Cardamom,Spices,Garlic,Herbs
2,Gin,Alcohol,Olive oil,Oils
3,Honey,Sugars,Pepper,Spices
4,Lemon,Fruits,Onion,Vegetables
5,Lime,Fruits,Lemon,Fruits
6,Orange,Fruits,Parmesan,Dairy
7,Pear,Fruits,Rosemary,Herbs
8,Star anise,Spices,Timian,Herbs
9,,,Bay leaf,Herbs
10,,,Carrot,Other
11,,,Celery,Vegetables
12,,,Parsley,Herbs
13,,,Potato,Vegetables
14,,,Shallot,Vegetables
15,,,Tomato,Vegetables
16,,,White wine,Alcohol
17,,,Apple,Fruits
18,,,Basil,Herbs
19,,,Capers,Other
20,,,Chicken stock,Other
21,,,Fennel,Vegetables
22,,,Ginger,Herbs
23,,,Mustard,Condiments
24,,,Nutmeg,Spices
25,,,Paprika,Spices
26,,,Pasta,Other
27,,,Pork,Meats
28,,,Portwine,Alcohol
29,,,Red onion,Vegetables
30,,,Spring onion,Vegetables
31,,,Arugula,Vegetables
32,,,Bacon,Meats
33,,,Balsamic vinegar,Vinegars
34,,,Bell pepper,Vegetables
35,,,Blood orange,Fruits
36,,,Brandy,Alcohol
37,,,Butternut squash,Vegetables
38,,,Cayenne pepper,Spices
39,,,Celeriac,Vegetables
40,,,Cheddar,Cheeses
41,,,Chicken,Meats
42,,,Chili,Herbs
43,,,Chive,Herbs
44,,,Chorizo,Meats
45,,,Cream,Dairy
46,,,Dark rum,Alcohol
47,,,Feta,Cheeses
48,,,Flatleaf Parsley,Herbs
49,,,Hazelnut,Nut
50,,,Kale,Vegetables
51,,,Ketchup,Condiments
52,,,Marsala,Alcohol
53,,,Mozzarella,Cheeses
54,,,Pumpkin seed,Seeds
55,,,Raisin,Fruits
56,,,Rapeseed oil,Oils
57,,,Ricotta,Cheeses
